,country,region,population,GDP,happiness_rank,happiness_score,standard_error,economy,family,health,freedom,trust,generosity,residual,true_residual,built_up_land_BiocapTot,built_up_land_EFConsTot,built_up_land_EFProdTot,built_up_land_EFNetradeTot,carbon_BiocapTot,carbon_EFConsTot,carbon_EFProdTot,carbon_EFNetradeTot,crop_land_BiocapTot,crop_land_EFConsTot,crop_land_EFProdTot,crop_land_EFNetradeTot,fishing_ground_BiocapTot,fishing_ground_EFConsTot,fishing_ground_EFProdTot,fishing_ground_EFNetradeTot,forest_land_BiocapTot,forest_land_EFConsTot,forest_land_EFProdTot,forest_land_EFNetradeTot,grazing_land_BiocapTot,grazing_land_EFConsTot,grazing_land_EFProdTot,grazing_land_EFNetradeTot,total_BiocapTot,total_EFConsTot,total_EFProdTot,total_EFNetradeTot
30,Congo DR,Sub-Saharan Africa,74.877,28362.733707,120,4.5169999999999995,0.0368,0.0,1.0012,0.09806000000000001,0.22605,0.07625,0.24834,2.86712,-2.0000000001019203e-05,3.8404005260000003,3.8404005260000003,3.8404005260000003,0.0,0.0,5.939401565000001,1.6511340180000003,4.28826754695,9.08110802,10.370395039999998,9.08110802,1.2892870171,3.0596819910000006,1.1786925490000002,0.3678739992,0.810818550287,163.675795,34.408727979999995,34.51046269,-0.10173471674000001,21.207987210000002,0.9229308843,0.7048138427,0.21811704152274,200.86497269999998,56.66054854,50.155793100000004,6.504755439600001
31,Costa Rica,Latin America and Caribbean,4.758,43190.36436,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,0.00022999999999928633,0.4939964079,0.4939964079,0.4939964079,0.0,0.0,5.040414578,2.681037236,2.3593773409999996,1.9525025790000001,1.647501794,1.9525025790000001,-0.30500078500000016,0.5756502641,0.408741091,0.2090252435,0.19971584750000002,3.0716905710000004,3.300016892,2.1734277239999997,1.1265891679,1.4460474630000002,1.053893919,1.4460474630000002,-0.39215354380000006,7.539887285,11.94456468,8.956036654,2.988528028000001
32,Croatia,Central and Eastern Europe,4.256,57531.7568,62,5.7589999999999995,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414,0.00045999999999946084,0.2848186333,0.2848186333,0.2848186333,0.0,0.0,8.281253597,5.90595595,2.375297647,3.009135727,3.4557882319999997,3.009135727,0.44665250399999973,1.4460345790000002,0.31622915980000005,0.18726421840000002,0.12896494129999997,6.617933974,2.36919777,3.000530107,-0.631332337,1.3829374719999998,0.7501324914,0.1480085582,0.60212393323,12.74086039,15.457419880000002,12.53571319,2.9217066900000006
33,Czech Republic,Central and Eastern Europe,10.543,214483.6291,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782,-7.999999999963592e-05,1.6068584380000002,1.6068584380000002,1.6068584380000002,0.0,0.0,36.389661909999994,35.68605515,0.7036067599999979,11.714545619999999,9.200650456,11.714545619999999,-2.513895166000001,0.02125437544,0.36664245549999996,0.01623735914,0.3504050963,13.89408145,8.282648311,10.264984810000001,-1.9823365020000003,0.7394368114000001,3.192651522,0.7394368114000001,2.4532147108999998,27.9761767,59.03911309,60.0281182,-0.9890051099999994
34,Ivory Coast,Sub-Saharan Africa,22.157,30685.45087,151,3.655,0.051410000000000004,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,1.41723,-0.00010000000000021103,1.9539993219999998,1.9539993219999998,1.9539993219999998,0.0,0.0,6.008192277000001,3.366827316,2.641364961,19.925168059999997,12.067007460000001,19.925168059999997,-7.858160596000001,0.8318724979,2.735365595,0.3537104301,2.3816551647999997,9.37702907,5.2516520810000005,5.3513190360000005,-0.09966695480000001,11.65805707,0.8709599756999999,0.4712176319,0.399742343813,43.746126020000005,28.887176710000002,31.422241800000002,-2.5350650820000005
35,Denmark,Western Europe,5.647,335645.8213,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,-7.999999999963592e-05,1.2088657390000002,1.2088657390000002,1.2088657390000002,0.0,0.0,19.06505538,12.20931689,6.85573849,11.641367480000001,7.078179727999999,11.641367480000001,-4.563187758,10.184175230000001,4.0949461739999995,2.763698189,1.3312479820000007,1.9118679640000003,6.031036692000001,2.278873835,3.7521628570000005,0.043347976739999995,2.768010475,0.043347976739999995,2.7246624984,24.98962439,40.24609419,30.145470109999998,10.100624079999998
36,Djibouti,Sub-Saharan Africa,0.876,1321.26204,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,-0.00019999999999953388,0.1782719083,0.1782719083,0.1782719083,0.0,0.0,0.370258931,0.2483875449,0.12187138615000001,0.015475461590000001,1.508950206,0.015475461590000001,1.4934747438599998,0.2618747409,0.03022689637,0.02576010107,0.00446679530523,0.0019268803539999998,0.2572274179,0.1456667104,0.11156070748099998,0.2021137516,0.2286873077,0.2021137516,0.026573556139999992,0.6596627426999999,2.573622667,0.8156754778,1.7579471895999998
37,Dominican Republic,Latin America and Caribbean,10.406,64452.26656,98,4.885,0.07446,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,1.21305,0.00041000000000046555,0.5494844697,0.5494844697,0.5494844697,0.0,0.0,9.40267366,7.4913125879999996,1.9113610719999996,2.598168221,3.909996264,2.598168221,1.3118280433,0.25195838579999996,0.3479738026,0.11121201110000001,0.23676179154000002,1.647915,1.13628261,0.38156077130000005,0.75472183911,1.151753743,1.188654644,1.151753743,0.03690090155,6.199279819,16.535065449999998,12.2834918,4.251573647
38,Ecuador,Latin America and Caribbean,15.903,86332.77513,48,5.975,0.04528,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002,-0.00027000000000043656,1.175965763,1.175965763,1.175965763,0.0,0.0,18.431840329999996,14.09463056,4.33720977,5.786783186000001,4.9505627080000005,5.786783186000001,-0.8362204779999997,1.6776592519999998,1.14282207,11.226735119999999,-10.083913050000001,21.34329676,3.79568122,3.6447296560000004,0.15095156429999998,2.956521731,2.993374315,2.956521731,0.03685258455099999,32.94022669,32.49024641,38.88536601,-6.3951195999999975
39,El Salvador,Latin America and Caribbean,6.108,22405.3656,42,6.13,0.056179999999999994,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035,-0.0001600000000010482,0.2681709314,0.2681709314,0.2681709314,0.0,0.0,4.598380811000001,2.165476577,2.4329042339999996,1.5761137769999998,2.461834688,1.5761137769999998,0.8857209113999999,0.7076316479999999,1.1045641780000002,1.3972805430000002,-0.29271636510000004,0.2604043497,2.51257992,2.095871205,0.41670871482999994,0.9373056615,1.256416331,0.8109028089,0.44551352209000006,3.7496263670000003,12.20194686,8.313815842,3.888131016
